lsoa21cd,lsoa_name,borough_code,violence_count_24m,lsoa21nm,population_2021,household_population_2021,communal_population_2021,communal_establishment_pct,households_total,hh_not_deprived,hh_deprived_1,hh_deprived_2,hh_deprived_3,hh_deprived_4,deprived_1plus_pct,deprived_2plus_pct,deprived_3plus_pct,population_density_km2,log_population_density,tenure_households_total,owned,social_rented,private_rented,owned_pct,social_rented_pct,private_rented_pct,lsoa21nm_boundary,bng_e,bng_n,lat,lon,area_m2,area_km2,violence_rate_per_1000_24m,violence_rate_per_1000_annual,borough_name,cluster,cluster_label
E01000006,Barking and Dagenham 016A,E09000002,62,Barking and Dagenham 016A,1845,1845,0,0.0,554,204,241,74,32,3,63.17689530685921,19.67509025270758,6.317689530685921,12585.3,9.44036419981107,553,270,22,257,48.824593128390596,3.9783001808318263,46.47377938517179,Barking and Dagenham 016A,544994,184274,51.53875,0.089317,144195.364547729,0.144195364547729,33.60433604336043,16.802168021680217,Barking and Dagenham,2,C3
E01000007,Barking and Dagenham 015A,E09000002,385,Barking and Dagenham 015A,2908,2908,0,0.0,1189,509,439,167,61,13,57.19091673675357,20.269133725820016,6.223717409587889,14540.0,9.584727524513486,1190,201,452,417,16.89075630252101,37.983193277310924,35.04201680672269,Barking and Dagenham 015A,544187,184455,51.54058,0.077763,198638.028244019,0.198638028244019,132.39339752407153,66.19669876203577,Barking and Dagenham,0,C2
E01000008,Barking and Dagenham 015B,E09000002,114,Barking and Dagenham 015B,1795,1795,0,0.0,549,136,229,139,44,1,75.22768670309654,33.51548269581056,8.19672131147541,9271.7,9.134829878287242,548,82,310,147,14.963503649635037,56.56934306569343,26.824817518248175,Barking and Dagenham 015B,543575,184273,51.5391,0.068871,192771.498977661,0.192771498977661,63.50974930362117,31.754874651810585,Barking and Dagenham,0,C2
E01000009,Barking and Dagenham 016B,E09000002,164,Barking and Dagenham 016B,1804,1784,20,1.1086474501108647,601,210,221,126,42,2,65.05823627287853,28.286189683860233,7.321131447587354,14104.8,9.554341339303793,598,200,116,280,33.44481605351171,19.39799331103679,46.82274247491639,Barking and Dagenham 016B,544587,184430,51.54026,0.083517,127687.37096405,0.12768737096405,90.9090909090909,45.45454545454545,Barking and Dagenham,2,C3
E01000011,Barking and Dagenham 016C,E09000002,120,Barking and Dagenham 016C,1701,1690,11,0.6466784244562023,473,167,194,86,26,0,64.69344608879493,23.67864693446089,5.496828752642706,18549.6,9.82825741252597,473,197,28,247,41.64904862579281,5.919661733615222,52.219873150105705,Barking and Dagenham 016C,544409,184734,51.54303,0.081077,90289.0816802979,0.0902890816802979,70.54673721340389,35.27336860670194,Barking and Dagenham,2,C3
E01000012,Barking and Dagenham 015D,E09000002,173,Barking and Dagenham 015D,2347,2339,8,0.34086067319982954,783,270,281,186,43,3,65.51724137931035,29.62962962962963,5.874840357598979,16702.3,9.723361583674011,782,196,223,332,25.06393861892583,28.516624040920718,42.45524296675192,Barking and Dagenham 015D,543892,184714,51.54299,0.073618,141423.816062927,0.141423816062927,73.71112057946314,36.85556028973157,Barking and Dagenham,0,C2
E01000013,Barking and Dagenham 013A,E09000002,155,Barking and Dagenham 013A,1871,1871,0,0.0,617,202,230,132,50,3,67.26094003241491,29.983792544570502,8.589951377633712,9003.8,9.105513047480015,619,254,189,173,41.033925686591274,30.533117932148627,27.948303715670438,Barking and Dagenham 013A,549152,184943,51.54368,0.149511,208865.297828674,0.208865297828674,82.84339925173704,41.42169962586852,Barking and Dagenham,0,C2
E01000014,Barking and Dagenham 013B,E09000002,110,Barking and Dagenham 013B,1751,1748,3,0.17133066818960593,636,221,246,124,42,3,65.25157232704403,26.572327044025158,7.0754716981132075,5131.9,8.543426080585999,634,285,214,129,44.95268138801262,33.753943217665615,20.347003154574132,Barking and Dagenham 013B,548350,184922,51.5437,0.137945,340191.12059021,0.34019112059021,62.82124500285551,31.410622501427756,Barking and Dagenham,0,C2
E01000015,Barking and Dagenham 009A,E09000002,111,Barking and Dagenham 009A,2418,2418,0,0.0,835,336,298,149,48,4,59.76047904191617,24.07185628742515,6.227544910179641,8617.2,9.061631525147158,834,320,259,220,38.36930455635492,31.05515587529976,26.378896882494004,Barking and Dagenham 009A,549586,184971,51.54382,0.155777,279686.689254761,0.279686689254761,45.90570719602977,22.952853598014887,Barking and Dagenham,0,C2
E01000016,Barking and Dagenham 009B,E09000002,63,Barking and Dagenham 009B,1851,1850,1,0.05402485143165856,627,245,246,102,34,0,60.92503987240829,21.69059011164274,5.422647527910685,9310.9,9.139048431081942,628,313,201,111,49.84076433121019,32.00636942675159,17.67515923566879,Barking and Dagenham 009B,549117,185496,51.54866,0.149241,196146.749847412,0.19614674984741198,34.0356564019449,17.01782820097245,Barking and Dagenham,0,C2
