borough_code,borough_name,violence_count_24m,population_2021,deprived_2plus_pct,lsoa_n,violence_rate_per_1000_annual
E09000033,Westminster,21612,204242,19.48807535945763,123,52.90782503109057
E09000007,Camden,14166,210137,20.528693098167764,130,33.70658189657224
E09000019,Islington,13893,216590,21.222131004019058,126,32.07211782630777
E09000030,Tower Hamlets,19825,310323,22.354969385791524,169,31.942524401994053
E09000002,Barking and Dagenham,13913,218865,25.263176355155007,115,31.784433326479792
E09000020,Kensington and Chelsea,9038,143376,17.09162643934211,101,31.518524718223414
E09000023,Lewisham,18474,300548,20.36104099658269,175,30.73385948334376
E09000013,Hammersmith and Fulham,11251,183157,17.630078706182797,115,30.714086821688497
E09000011,Greenwich,17433,289052,19.774850410407357,164,30.15547375558723
E09000012,Hackney,15425,259153,22.80713443321227,149,29.76041180306614
E09000018,Hounslow,16799,288175,20.92296503303608,150,29.147219571440964
E09000022,Lambeth,18292,317669,18.437721533526574,181,28.79097425307474
E09000025,Newham,20195,351034,25.322579462987502,185,28.76501991260106
E09000008,Croydon,22061,390708,17.972165525073162,229,28.232081247376556
E09000014,Haringey,14774,264247,22.698449958220554,147,27.95490582674543
E09000005,Brent,18877,339808,23.269734417250575,181,27.77597937658913
E09000028,Southwark,16973,307631,19.474853634086003,173,27.586621634360647
E09000017,Hillingdon,16780,305917,19.038001871249996,170,27.425739661411427
E09000009,Ealing,19358,367125,19.99862132806833,199,26.364317330609467
E09000026,Redbridge,15733,310266,18.749715583110632,164,25.35405104007529
E09000010,Enfield,16583,329985,22.059956275831084,183,25.126899707562465
E09000016,Havering,11988,262052,17.8477199142145,153,22.87332285195305
E09000031,Waltham Forest,12320,278433,21.078129679575976,146,22.12381434671896
E09000032,Wandsworth,14086,327512,13.820715667164585,186,21.504555558269622
E09000029,Sutton,8977,209644,15.74085951590037,123,21.41010474900307
E09000004,Bexley,10271,246460,16.99583635506653,148,20.837052665746977
E09000006,Bromley,13206,329991,13.976066550303681,199,20.00963662645345
E09000021,Kingston upon Thames,6681,168068,13.025705093062022,99,19.875883570935574
E09000003,Barnet,15038,389348,17.14696296386504,220,19.311772501720824
E09000024,Merton,8186,215192,14.744866881851555,126,19.02022380014127
E09000015,Harrow,9712,261199,16.517603327796074,144,18.591189093373252
E09000027,Richmond upon Thames,5851,195286,10.851487190222143,115,14.980592566799464
